time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783931681,18164,8,130.64,16.33,136,833
1783931682,18164,8,138.80,17.35,149,859
1783931683,18164,8,132.08,16.51,145,878
1783931685,18164,8,139.84,17.48,147,841
1783931686,18164,8,150.32,18.79,162,862
1783931687,18164,8,166.72,20.84,178,854
1783931688,18164,8,156.24,19.53,168,860
1783931689,18164,8,160.40,20.05,170,848
1783931690,18164,8,151.20,18.90,165,873
1783931691,18164,8,152.48,19.06,162,850
1783931692,18164,8,149.76,18.72,161,860
1783931693,18164,8,148.48,18.56,163,878
1783931694,18164,8,158.72,19.84,172,867
1783931695,18164,8,155.60,19.45,164,843
1783931696,18164,8,140.32,17.54,150,855
1783931698,18164,8,144.80,18.10,158,873
1783931699,18164,8,150.00,18.75,159,848
1783931700,18164,8,137.36,17.17,148,862
1783931701,18164,8,155.12,19.39,166,856
1783931702,18164,8,155.44,19.43,170,875
1783931703,18164,8,152.64,19.08,161,844
1783931704,18164,8,149.68,18.71,160,855
1783931705,18164,8,150.64,18.83,158,839
1783931706,18164,8,146.64,18.33,160,873
1783931707,18164,8,151.60,18.95,163,860
1783931708,18164,8,151.12,18.89,163,863
1783931710,18164,8,152.24,19.03,164,862
1783931711,18164,8,154.48,19.31,167,865
1783931712,18164,8,158.08,19.76,167,845
1783931713,18164,8,153.44,19.18,164,855
1783931714,18164,8,151.52,18.94,161,850
1783931715,18164,8,146.88,18.36,159,866
1783931716,18164,8,147.92,18.49,159,860
1783931717,18164,8,154.16,19.27,164,851
1783931718,18164,8,159.04,19.88,167,840
1783931719,18164,8,155.20,19.40,167,861
1783931720,18164,8,146.88,18.36,159,866
1783931722,18164,8,149.44,18.68,158,846
1783931723,18164,8,151.60,18.95,166,876
1783931724,18164,8,151.84,18.98,163,859
1783931725,18164,8,141.76,17.72,149,841
1783931726,18164,8,140.56,17.57,152,865
1783931727,18164,8,148.80,18.60,160,860
1783931728,18164,8,148.08,18.51,157,848
1783931729,18164,8,152.16,19.02,163,857
1783931730,18164,8,148.16,18.52,163,880
1783931731,18164,8,144.88,18.11,153,845
1783931732,18164,8,140.96,17.62,154,874
1783931734,18164,8,153.92,19.24,163,847
1783931735,18164,8,153.20,19.15,166,867
1783931736,18164,8,154.16,19.27,164,851
1783931737,18164,8,154.56,19.32,165,854
1783931738,18164,8,155.92,19.49,168,862
1783931739,18164,8,145.76,18.22,158,867
1783931740,18164,8,156.96,19.62,166,846
1783931741,18164,8,146.00,18.25,156,855
1783931742,18164,8,159.28,19.91,168,844
1783931743,18164,8,156.80,19.60,167,852
1783931744,18164,8,149.92,18.74,160,854
1783931745,18164,8,149.92,18.74,158,843
