time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783932054,18164,8,165.76,20.72,166,801
1783932055,18164,8,156.24,19.53,165,845
1783932057,18164,8,164.64,20.58,177,860
1783932058,18164,8,164.96,20.62,173,839
1783932059,18164,8,167.36,20.92,178,851
1783932060,18164,8,159.60,19.95,174,872
1783932061,18164,8,160.96,20.12,172,855
1783932062,18164,8,153.36,19.17,162,845
1783932063,18164,8,160.72,20.09,170,846
1783932064,18164,8,162.40,20.30,175,862
1783932065,18164,8,169.44,21.18,179,845
1783932066,18164,8,168.08,21.01,174,828
1783932067,18164,8,164.16,20.52,174,848
1783932068,18164,8,163.76,20.47,175,855
1783932070,18164,8,155.28,19.41,164,845
1783932071,18164,8,155.20,19.40,169,871
1783932072,18164,8,161.68,20.21,171,846
1783932073,18164,8,160.56,20.07,172,857
1783932074,18164,8,197.44,24.68,209,847
1783932075,18164,8,162.24,20.28,173,853
1783932076,18164,8,165.04,20.63,171,829
1783932077,18164,8,166.72,20.84,178,854
1783932078,18164,8,163.36,20.42,174,852
1783932079,18164,8,155.20,19.40,168,866
1783932080,18164,8,164.40,20.55,172,837
1783932081,18164,8,168.88,21.11,179,848
1783932083,18164,8,170.00,21.25,177,833
1783932084,18164,8,162.24,20.28,171,843
1783932085,18164,8,166.24,20.78,175,842
1783932086,18164,8,158.16,19.77,173,875
1783932087,18164,8,156.80,19.60,165,842
1783932088,18164,8,156.16,19.52,164,840
1783932089,18164,8,162.00,20.25,175,864
1783932090,18164,8,164.80,20.60,172,835
1783932091,18164,8,167.60,20.95,180,859
1783932092,18164,8,165.92,20.74,180,868
1783932093,18164,8,172.64,21.58,183,848
1783932095,18164,8,161.84,20.23,177,875
1783932096,18164,8,155.76,19.47,168,863
1783932097,18164,8,153.68,19.21,165,859
1783932098,18164,8,164.40,20.55,173,842
1783932099,18164,8,168.40,21.05,181,860
1783932100,18164,8,167.68,20.96,174,830
1783932101,18164,8,169.12,21.14,175,828
1783932102,18164,8,155.92,19.49,167,857
1783932103,18164,8,156.96,19.62,164,836
1783932104,18164,8,153.84,19.23,164,853
1783932105,18164,8,159.28,19.91,168,844
1783932106,18164,8,161.76,20.22,166,821
1783932107,18164,8,157.92,19.74,169,856
1783932109,18164,8,158.48,19.81,167,843
1783932110,18164,8,148.64,18.58,157,845
1783932111,18164,8,148.08,18.51,154,832
1783932112,18164,8,158.88,19.86,168,846
1783932113,18164,8,165.28,20.66,169,818
1783932114,18164,8,160.72,20.09,172,856
1783932115,18164,8,170.08,21.26,182,856
1783932116,18164,8,166.96,20.87,178,853
1783932117,18164,8,169.92,21.24,178,838
1783932118,18164,8,160.00,20.00,173,865
