time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783932159,18164,8,172.24,21.53,174,808
1783932160,18164,8,169.12,21.14,174,823
1783932161,18164,8,162.24,20.28,175,863
1783932162,18164,8,158.08,19.76,166,840
1783932164,18164,8,155.52,19.44,168,864
1783932165,18164,8,153.60,19.20,163,849
1783932166,18164,8,161.92,20.24,170,840
1783932167,18164,8,162.48,20.31,170,837
1783932168,18164,8,160.72,20.09,173,861
1783932169,18164,8,166.48,20.81,175,841
1783932170,18164,8,160.40,20.05,173,863
1783932171,18164,8,158.32,19.79,168,849
1783932172,18164,8,150.56,18.82,162,861
1783932173,18164,8,163.60,20.45,174,851
1783932174,18164,8,164.32,20.54,174,847
1783932175,18164,8,167.36,20.92,182,870
1783932177,18164,8,165.12,20.64,181,877
1783932178,18164,8,164.88,20.61,177,859
1783932179,18164,8,156.64,19.58,169,863
1783932180,18164,8,154.24,19.28,165,856
1783932181,18164,8,162.80,20.35,174,855
1783932182,18164,8,163.28,20.41,171,838
1783932183,18164,8,170.24,21.28,176,827
1783932184,18164,8,170.00,21.25,180,847
1783932185,18164,8,163.52,20.44,175,856
1783932186,18164,8,160.96,20.12,170,845
1783932187,18164,8,158.32,19.79,167,844
1783932188,18164,8,153.84,19.23,164,853
1783932190,18164,8,159.60,19.95,168,842
1783932191,18164,8,161.68,20.21,170,841
1783932192,18164,8,170.96,21.37,178,833
1783932193,18164,8,166.48,20.81,174,836
1783932194,18164,8,165.84,20.73,177,854
1783932195,18164,8,164.80,20.60,178,864
1783932196,18164,8,159.04,19.88,168,845
1783932197,18164,8,160.16,20.02,170,849
1783932198,18164,8,167.20,20.90,176,842
1783932199,18164,8,170.80,21.35,177,829
1783932200,18164,8,169.84,21.23,176,829
1783932201,18164,8,169.76,21.22,178,839
1783932202,18164,8,165.44,20.68,176,851
1783932204,18164,8,157.20,19.65,169,860
1783932205,18164,8,159.12,19.89,174,875
1783932206,18164,8,156.32,19.54,171,875
1783932207,18164,8,164.80,20.60,173,840
1783932208,18164,8,165.44,20.68,176,851
1783932209,18164,8,166.80,20.85,177,849
1783932210,18164,8,167.84,20.98,179,853
1783932211,18164,8,157.68,19.71,165,837
1783932212,18164,8,155.84,19.48,166,852
1783932213,18164,8,171.12,21.39,182,851
1783932214,18164,8,164.24,20.53,178,867
1783932216,18164,8,163.04,20.38,171,839
1783932217,18164,8,168.64,21.08,183,868
1783932218,18164,8,166.72,20.84,179,859
1783932219,18164,8,164.24,20.53,172,838
1783932220,18164,8,159.44,19.93,173,868
1783932221,18164,8,157.60,19.70,168,853
1783932222,18164,8,161.12,20.14,171,849
1783932223,18164,8,162.32,20.29,170,838
