time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783932299,18164,8,146.64,18.33,149,813
1783932300,18164,8,141.76,17.72,148,835
1783932301,18164,8,136.40,17.05,148,868
1783932302,18164,8,139.36,17.42,147,844
1783932303,18164,8,143.60,17.95,152,847
1783932304,18164,8,146.80,18.35,156,850
1783932305,18164,8,147.76,18.47,154,834
1783932306,18164,8,146.64,18.33,156,851
1783932307,18164,8,151.12,18.89,160,847
1783932308,18164,8,148.32,18.54,158,852
1783932310,18164,8,147.68,18.46,156,845
1783932311,18164,8,147.28,18.41,158,858
1783932312,18164,8,143.28,17.91,156,871
1783932313,18164,8,148.08,18.51,156,843
1783932314,18164,8,145.04,18.13,151,833
1783932315,18164,8,148.00,18.50,158,854
1783932316,18164,8,147.68,18.46,156,845
1783932317,18164,8,143.68,17.96,153,852
1783932318,18164,8,144.00,18.00,149,828
1783932319,18164,8,142.24,17.78,149,838
1783932320,18164,8,149.52,18.69,160,856
1783932321,18164,8,150.24,18.78,157,836
1783932323,18164,8,147.12,18.39,153,832
1783932324,18164,8,148.64,18.58,154,829
1783932325,18164,8,152.00,19.00,159,837
1783932326,18164,8,143.52,17.94,153,853
1783932327,18164,8,154.40,19.30,160,829
1783932328,18164,8,146.00,18.25,156,855
1783932329,18164,8,141.12,17.64,148,839
1783932330,18164,8,154.56,19.32,164,849
1783932331,18164,8,146.16,18.27,156,854
1783932332,18164,8,157.44,19.68,171,869
1783932333,18164,8,143.92,17.99,152,845
1783932334,18164,8,141.52,17.69,153,865
1783932336,18164,8,139.68,17.46,150,859
1783932337,18164,8,145.52,18.19,153,841
1783932338,18164,8,147.20,18.40,156,848
1783932339,18164,8,147.92,18.49,157,849
1783932340,18164,8,146.64,18.33,156,851
1783932341,18164,8,153.68,19.21,161,838
1783932342,18164,8,141.60,17.70,151,853
1783932343,18164,8,138.00,17.25,153,887
1783932344,18164,8,141.68,17.71,150,847
1783932345,18164,8,136.64,17.08,143,837
1783932346,18164,8,148.08,18.51,156,843
1783932347,18164,8,145.28,18.16,158,870
1783932349,18164,8,148.40,18.55,151,814
1783932350,18164,8,151.60,18.95,162,855
1783932351,18164,8,146.24,18.28,157,859
1783932352,18164,8,139.68,17.46,147,842
1783932353,18164,8,142.72,17.84,150,841
1783932354,18164,8,149.36,18.67,157,841
1783932355,18164,8,144.96,18.12,150,828
1783932356,18164,8,147.36,18.42,156,847
1783932357,18164,8,148.56,18.57,156,840
1783932358,18164,8,143.20,17.90,152,849
1783932359,18164,8,143.92,17.99,152,845
1783932360,18164,8,140.80,17.60,151,858
1783932361,18164,8,145.60,18.20,152,835
1783932363,18164,8,144.80,18.10,152,840
