time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783933320,18164,8,0.00,0.00,0,843
1783933321,18164,8,0.00,0.00,0,887
1783933322,18164,8,0.00,0.00,0,883
1783933323,18164,8,0.00,0.00,0,884
1783933325,18164,8,0.00,0.00,0,875
1783933326,18164,8,0.00,0.00,0,873
1783933327,18164,8,0.00,0.00,0,871
1783933328,18164,8,0.00,0.00,0,865
1783933329,18164,8,0.00,0.00,0,891
1783933330,18164,8,0.00,0.00,0,875
1783933331,18164,8,0.00,0.00,0,870
1783933332,18164,8,0.00,0.00,0,884
1783933333,18164,8,0.00,0.00,0,878
1783933335,18164,8,0.00,0.00,0,889
1783933336,18164,8,0.00,0.00,0,871
1783933337,18164,8,0.00,0.00,0,878
1783933338,18164,8,0.00,0.00,0,883
1783933339,18164,8,0.00,0.00,0,888
1783933340,18164,8,0.00,0.00,0,871
1783933341,18164,8,0.00,0.00,0,867
1783933342,18164,8,0.00,0.00,0,862
1783933343,18164,8,0.00,0.00,0,866
1783933344,18164,8,0.00,0.00,0,865
1783933346,18164,8,0.00,0.00,0,863
1783933347,18164,8,0.00,0.00,0,864
1783933348,18164,8,0.00,0.00,0,863
1783933349,18164,8,0.00,0.00,0,872
1783933350,18164,8,0.00,0.00,0,880
1783933351,18164,8,0.00,0.00,0,872
1783933352,18164,8,0.00,0.00,0,869
1783933353,18164,8,0.00,0.00,0,872
1783933354,18164,8,0.00,0.00,0,888
1783933355,18164,8,0.00,0.00,0,888
1783933357,18164,8,0.00,0.00,0,888
1783933358,18164,8,0.00,0.00,0,876
1783933359,18164,8,0.00,0.00,0,875
1783933360,18164,8,0.00,0.00,0,891
1783933361,18164,8,0.00,0.00,0,889
1783933362,18164,8,0.00,0.00,0,887
1783933363,18164,8,0.00,0.00,0,873
1783933364,18164,8,0.00,0.00,0,878
1783933366,18164,8,0.00,0.00,0,877
1783933367,18164,8,0.00,0.00,0,876
1783933368,18164,8,0.00,0.00,0,875
1783933369,18164,8,0.00,0.00,0,886
1783933370,18164,8,0.00,0.00,0,885
1783933371,18164,8,0.00,0.00,0,888
1783933372,18164,8,0.00,0.00,0,885
1783933373,18164,8,0.00,0.00,0,877
1783933374,18164,8,0.00,0.00,0,894
1783933376,18164,8,0.00,0.00,0,885
1783933377,18164,8,0.00,0.00,0,884
1783933378,18164,8,0.00,0.00,0,893
1783933379,18164,8,0.00,0.00,0,888
1783933380,18164,8,0.00,0.00,0,886
1783933381,18164,8,0.00,0.00,0,890
1783933382,18164,8,0.00,0.00,0,892
1783933383,18164,8,0.00,0.00,0,890
1783933385,18164,8,0.00,0.00,0,866
1783933386,18164,8,0.00,0.00,0,889
