time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1784000408,9818,8,57.84,7.23,59,816
1784000409,9818,8,64.40,8.05,70,870
1784000411,9818,8,62.40,7.80,67,859
1784000412,9818,8,61.92,7.74,67,866
1784000413,9818,8,68.16,8.52,72,845
1784000414,9818,8,64.88,8.11,70,863
1784000415,9818,8,62.56,7.82,65,831
1784000416,9818,8,58.80,7.35,63,857
1784000417,9818,8,88.80,11.10,95,856
1784000418,9818,8,89.84,11.23,93,828
1784000419,9818,8,81.92,10.24,88,859
1784000420,9818,8,76.16,9.52,81,851
1784000421,9818,8,68.48,8.56,71,829
1784000422,9818,8,60.64,7.58,64,844
1784000424,9818,8,62.80,7.85,67,854
1784000425,9818,8,83.84,10.48,89,849
1784000426,9818,8,80.16,10.02,85,848
1784000427,9818,8,83.12,10.39,90,866
1784000428,9818,8,78.88,9.86,86,872
1784000429,9818,8,78.96,9.87,86,871
1784000430,9818,8,75.36,9.42,80,849
1784000431,9818,8,80.48,10.06,85,845
1784000432,9818,8,75.12,9.39,82,873
1784000434,9818,8,75.60,9.45,81,857
1784000435,9818,8,82.64,10.33,88,852
1784000436,9818,8,77.12,9.64,85,882
1784000437,9818,8,80.64,10.08,88,873
1784000438,9818,8,82.24,10.28,88,856
1784000439,9818,8,81.28,10.16,88,866
1784000440,9818,8,83.84,10.48,91,868
1784000441,9818,8,73.04,9.13,79,865
1784000442,9818,8,78.16,9.77,84,860
1784000443,9818,8,78.72,9.84,86,874
1784000445,9818,8,74.64,9.33,80,857
1784000446,9818,8,68.16,8.52,74,869
1784000447,9818,8,74.56,9.32,80,858
1784000448,9818,8,81.20,10.15,86,847
1784000449,9818,8,76.88,9.61,82,853
1784000450,9818,8,74.32,9.29,81,872
1784000451,9818,8,84.80,10.60,92,868
1784000452,9818,8,80.40,10.05,85,846
1784000453,9818,8,69.68,8.71,75,861
1784000454,9818,8,78.88,9.86,86,872
1784000456,9818,8,64.96,8.12,70,862
1784000457,9818,8,74.64,9.33,78,836
1784000458,9818,8,74.32,9.29,81,872
1784000459,9818,8,83.68,10.46,88,841
1784000460,9818,8,79.12,9.89,84,849
1784000461,9818,8,83.12,10.39,90,866
1784000462,9818,8,78.72,9.84,86,874
1784000463,9818,8,75.20,9.40,82,872
1784000464,9818,8,78.88,9.86,83,842
1784000465,9818,8,70.24,8.78,75,854
1784000467,9818,8,45.20,5.65,49,868
1784000468,9818,8,39.20,4.90,42,858
1784000469,9818,8,37.52,4.69,41,874
1784000470,9818,8,59.68,7.46,64,858
1784000471,9818,8,78.80,9.85,83,843
1784000472,9818,8,78.72,9.84,84,854
1784000473,9818,8,81.04,10.13,89,879
