time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1784000924,9818,8,74.56,9.32,77,826
1784000925,9818,8,77.76,9.72,82,844
1784000926,9818,8,70.80,8.85,75,847
1784000927,9818,8,66.08,8.26,72,872
1784000928,9818,8,74.16,9.27,80,863
1784000929,9818,8,76.16,9.52,81,851
1784000930,9818,8,73.20,9.15,80,874
1784000931,9818,8,80.48,10.06,86,855
1784000933,9818,8,61.92,7.74,65,840
1784000934,9818,8,65.84,8.23,68,826
1784000935,9818,8,74.80,9.35,79,845
1784000936,9818,8,81.84,10.23,86,841
1784000937,9818,8,79.60,9.95,86,864
1784000938,9818,8,78.24,9.78,81,828
1784000939,9818,8,79.84,9.98,86,862
1784000940,9818,8,73.76,9.22,80,868
1784000941,9818,8,77.92,9.74,84,862
1784000942,9818,8,85.20,10.65,92,864
1784000943,9818,8,63.76,7.97,65,816
1784000945,9818,8,47.52,5.94,51,858
1784000946,9818,8,44.08,5.51,48,871
1784000947,9818,8,56.56,7.07,60,849
1784000948,9818,8,77.60,9.70,83,856
1784000949,9818,8,76.64,9.58,83,866
1784000950,9818,8,78.40,9.80,84,857
1784000951,9818,8,79.84,9.98,86,862
1784000952,9818,8,77.36,9.67,82,848
1784000953,9818,8,79.92,9.99,86,861
1784000954,9818,8,82.24,10.28,89,866
1784000956,9818,8,80.40,10.05,86,856
1784000957,9818,8,69.76,8.72,74,849
1784000958,9818,8,80.08,10.01,88,879
1784000959,9818,8,75.04,9.38,81,864
1784000960,9818,8,76.00,9.50,81,853
1784000961,9818,8,77.92,9.74,85,873
1784000962,9818,8,76.16,9.52,83,872
1784000963,9818,8,81.92,10.24,88,859
1784000964,9818,8,79.28,9.91,85,858
1784000965,9818,8,80.32,10.04,85,847
1784000967,9818,8,82.72,10.34,89,861
1784000968,9818,8,76.64,9.58,79,825
1784000969,9818,8,75.44,9.43,80,848
1784000970,9818,8,82.48,10.31,89,863
1784000971,9818,8,81.12,10.14,88,868
1784000972,9818,8,75.92,9.49,83,875
1784000973,9818,8,78.08,9.76,84,861
1784000974,9818,8,74.96,9.37,80,854
1784000975,9818,8,77.04,9.63,83,862
1784000976,9818,8,73.04,9.13,78,854
1784000978,9818,8,80.08,10.01,86,859
1784000979,9818,8,80.72,10.09,87,862
1784000980,9818,8,77.60,9.70,83,856
1784000981,9818,8,74.80,9.35,80,856
1784000982,9818,8,76.00,9.50,81,853
1784000983,9818,8,76.32,9.54,83,870
1784000984,9818,8,76.72,9.59,81,845
1784000985,9818,8,74.24,9.28,81,873
1784000986,9818,8,79.68,9.96,83,833
1784000987,9818,8,77.84,9.73,82,843
1784000988,9818,8,77.36,9.67,84,869
