time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1784001037,9818,8,80.08,10.01,83,829
1784001038,9818,8,87.20,10.90,94,862
1784001039,9818,8,80.88,10.11,88,870
1784001040,9818,8,81.76,10.22,88,861
1784001041,9818,8,77.60,9.70,84,866
1784001043,9818,8,85.28,10.66,90,844
1784001044,9818,8,81.92,10.24,88,859
1784001045,9818,8,86.48,10.81,91,842
1784001046,9818,8,85.36,10.67,94,881
1784001047,9818,8,83.36,10.42,91,873
1784001048,9818,8,87.92,10.99,93,846
1784001049,9818,8,79.68,9.96,84,843
1784001050,9818,8,86.32,10.79,93,862
1784001051,9818,8,79.60,9.95,83,834
1784001052,9818,8,81.28,10.16,88,866
1784001053,9818,8,89.92,11.24,96,854
1784001055,9818,8,85.84,10.73,90,839
1784001056,9818,8,79.04,9.88,84,850
1784001057,9818,8,107.84,13.48,113,838
1784001058,9818,8,78.24,9.78,84,859
1784001059,9818,8,88.96,11.12,96,863
1784001060,9818,8,82.48,10.31,91,883
1784001061,9818,8,85.20,10.65,93,873
1784001062,9818,8,83.84,10.48,91,868
1784001063,9818,8,76.08,9.51,80,841
1784001064,9818,8,88.88,11.11,94,846
1784001066,9818,8,88.96,11.12,96,863
1784001067,9818,8,80.64,10.08,86,853
1784001068,9818,8,80.88,10.11,83,821
1784001069,9818,8,82.16,10.27,86,837
1784001070,9818,8,82.16,10.27,88,857
1784001071,9818,8,81.92,10.24,88,859
1784001072,9818,8,81.68,10.21,89,872
1784001073,9818,8,80.48,10.06,86,855
1784001074,9818,8,72.96,9.12,78,855
1784001075,9818,8,84.24,10.53,89,845
1784001077,9818,8,79.76,9.97,87,873
1784001078,9818,8,78.08,9.76,85,871
1784001079,9818,8,82.56,10.32,89,862
1784001080,9818,8,82.32,10.29,90,875
1784001081,9818,8,84.40,10.55,90,853
1784001082,9818,8,73.28,9.16,80,873
1784001083,9818,8,92.40,11.55,97,840
1784001084,9818,8,79.20,9.90,86,869
1784001085,9818,8,82.40,10.30,89,864
1784001086,9818,8,90.24,11.28,98,869
1784001088,9818,8,88.88,11.11,96,864
1784001089,9818,8,87.52,10.94,92,841
1784001090,9818,8,78.88,9.86,85,862
1784001091,9818,8,90.72,11.34,98,864
1784001092,9818,8,75.20,9.40,81,862
1784001093,9818,8,88.88,11.11,97,873
1784001094,9818,8,78.08,9.76,85,871
1784001095,9818,8,83.12,10.39,89,857
1784001096,9818,8,83.04,10.38,91,877
1784001098,9818,8,82.48,10.31,90,873
1784001099,9818,8,77.60,9.70,84,866
1784001100,9818,8,84.08,10.51,89,847
1784001101,9818,8,89.44,11.18,94,841
1784001102,9818,8,84.88,10.61,91,858
