time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1784001183,9818,8,0.00,0.00,0,838
1784001184,9818,8,0.96,0.12,1,858
1784001185,9818,8,0.00,0.00,0,851
1784001186,9818,8,0.96,0.12,1,854
1784001187,9818,8,0.00,0.00,0,839
1784001188,9818,8,0.00,0.00,0,863
1784001189,9818,8,0.96,0.12,1,859
1784001190,9818,8,0.00,0.00,0,864
1784001191,9818,8,0.00,0.00,0,861
1784001192,9818,8,0.00,0.00,0,875
1784001194,9818,8,0.00,0.00,0,866
1784001195,9818,8,0.00,0.00,0,865
1784001196,9818,8,0.00,0.00,0,863
1784001197,9818,8,0.00,0.00,0,871
1784001198,9818,8,0.00,0.00,0,871
1784001199,9818,8,0.00,0.00,0,868
1784001200,9818,8,0.00,0.00,0,866
1784001201,9818,8,0.00,0.00,0,866
1784001202,9818,8,0.00,0.00,0,868
1784001203,9818,8,0.00,0.00,0,868
1784001205,9818,8,0.00,0.00,0,869
1784001206,9818,8,0.00,0.00,0,869
1784001207,9818,8,0.00,0.00,0,867
1784001208,9818,8,0.00,0.00,0,862
1784001209,9818,8,0.00,0.00,0,874
1784001210,9818,8,0.00,0.00,0,879
1784001211,9818,8,0.00,0.00,0,870
1784001212,9818,8,0.00,0.00,0,872
1784001213,9818,8,0.00,0.00,0,874
1784001214,9818,8,0.00,0.00,0,864
1784001216,9818,8,0.00,0.00,0,865
1784001217,9818,8,0.00,0.00,0,862
1784001218,9818,8,0.00,0.00,0,882
1784001219,9818,8,0.00,0.00,0,874
1784001220,9818,8,0.00,0.00,0,872
1784001221,9818,8,0.00,0.00,0,879
1784001222,9818,8,0.00,0.00,0,878
1784001223,9818,8,0.00,0.00,0,866
1784001224,9818,8,0.00,0.00,0,871
1784001225,9818,8,0.00,0.00,0,869
1784001227,9818,8,0.00,0.00,0,871
1784001228,9818,8,0.00,0.00,0,874
1784001229,9818,8,0.00,0.00,0,873
1784001230,9818,8,0.00,0.00,0,880
1784001231,9818,8,0.00,0.00,0,866
1784001232,9818,8,0.00,0.00,0,866
1784001233,9818,8,0.00,0.00,0,872
1784001234,9818,8,0.00,0.00,0,870
1784001235,9818,8,0.00,0.00,0,869
1784001236,9818,8,0.00,0.00,0,863
1784001238,9818,8,0.00,0.00,0,870
1784001239,9818,8,0.00,0.00,0,871
1784001240,9818,8,0.00,0.00,0,856
1784001241,9818,8,0.00,0.00,0,866
1784001242,9818,8,0.00,0.00,0,882
1784001243,9818,8,0.00,0.00,0,880
1784001244,9818,8,0.00,0.00,0,876
1784001245,9818,8,0.00,0.00,0,870
1784001246,9818,8,0.00,0.00,0,867
1784001247,9818,8,0.00,0.00,0,876
