time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1784001373,9818,8,0.00,0.00,0,846
1784001375,9818,8,0.00,0.00,0,998
1784001376,9818,8,0.00,0.00,0,832
1784001377,9818,8,0.96,0.12,1,847
1784001378,9818,8,0.00,0.00,0,818
1784001379,9818,8,0.00,0.00,0,835
1784001380,9818,8,0.00,0.00,0,870
1784001381,9818,8,0.00,0.00,0,860
1784001382,9818,8,0.00,0.00,0,866
1784001383,9818,8,0.00,0.00,0,875
1784001384,9818,8,0.00,0.00,0,867
1784001385,9818,8,0.00,0.00,0,866
1784001387,9818,8,0.00,0.00,0,870
1784001388,9818,8,0.00,0.00,0,873
1784001389,9818,8,0.00,0.00,0,873
1784001390,9818,8,0.00,0.00,0,862
1784001391,9818,8,0.00,0.00,0,873
1784001392,9818,8,0.00,0.00,0,874
1784001393,9818,8,0.00,0.00,0,876
1784001394,9818,8,0.00,0.00,0,870
1784001395,9818,8,0.00,0.00,0,875
1784001396,9818,8,0.00,0.00,0,870
1784001398,9818,8,0.00,0.00,0,890
1784001399,9818,8,0.00,0.00,0,872
1784001400,9818,8,0.00,0.00,0,867
1784001401,9818,8,0.00,0.00,0,878
1784001402,9818,8,0.00,0.00,0,877
1784001403,9818,8,0.00,0.00,0,861
1784001404,9818,8,0.00,0.00,0,871
1784001405,9818,8,0.00,0.00,0,870
1784001406,9818,8,0.00,0.00,0,876
1784001407,9818,8,0.00,0.00,0,875
1784001409,9818,8,0.00,0.00,0,863
1784001410,9818,8,0.00,0.00,0,871
1784001411,9818,8,0.00,0.00,0,873
1784001412,9818,8,0.00,0.00,0,871
1784001413,9818,8,0.00,0.00,0,871
1784001414,9818,8,0.00,0.00,0,868
1784001415,9818,8,0.00,0.00,0,877
1784001416,9818,8,0.00,0.00,0,876
1784001417,9818,8,0.00,0.00,0,862
1784001418,9818,8,0.00,0.00,0,877
1784001420,9818,8,0.00,0.00,0,865
1784001421,9818,8,0.00,0.00,0,861
1784001422,9818,8,0.00,0.00,0,867
1784001423,9818,8,0.00,0.00,0,870
1784001424,9818,8,0.00,0.00,0,878
1784001425,9818,8,0.00,0.00,0,873
1784001426,9818,8,0.00,0.00,0,872
1784001427,9818,8,0.00,0.00,0,868
1784001428,9818,8,0.00,0.00,0,866
1784001429,9818,8,0.00,0.00,0,872
1784001431,9818,8,0.00,0.00,0,875
1784001432,9818,8,0.00,0.00,0,873
1784001433,9818,8,0.00,0.00,0,869
1784001434,9818,8,0.00,0.00,0,872
1784001435,9818,8,0.00,0.00,0,861
1784001436,9818,8,0.00,0.00,0,872
1784001437,9818,8,0.00,0.00,0,881
1784001438,9818,8,0.00,0.00,0,870
