time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783932526,18164,8,0.00,0.00,0,833
1783932527,18164,8,0.00,0.00,0,868
1783932528,18164,8,0.00,0.00,0,869
1783932529,18164,8,0.00,0.00,0,867
1783932531,18164,8,0.00,0.00,0,873
1783932532,18164,8,0.00,0.00,0,862
1783932533,18164,8,0.00,0.00,0,866
1783932534,18164,8,0.00,0.00,0,867
1783932535,18164,8,0.00,0.00,0,868
1783932536,18164,8,0.00,0.00,0,868
1783932537,18164,8,0.00,0.00,0,868
1783932538,18164,8,0.00,0.00,0,877
1783932539,18164,8,0.00,0.00,0,874
1783932540,18164,8,0.00,0.00,0,869
1783932542,18164,8,0.00,0.00,0,869
1783932543,18164,8,0.00,0.00,0,875
1783932544,18164,8,0.00,0.00,0,870
1783932545,18164,8,0.00,0.00,0,880
1783932546,18164,8,0.00,0.00,0,864
1783932547,18164,8,0.00,0.00,0,876
1783932548,18164,8,0.00,0.00,0,869
1783932549,18164,8,0.00,0.00,0,877
1783932550,18164,8,0.00,0.00,0,869
1783932552,18164,8,0.00,0.00,0,876
1783932553,18164,8,0.00,0.00,0,878
1783932554,18164,8,0.00,0.00,0,867
1783932555,18164,8,0.00,0.00,0,861
1783932556,18164,8,0.00,0.00,0,868
1783932557,18164,8,0.00,0.00,0,871
1783932558,18164,8,0.00,0.00,0,877
1783932559,18164,8,0.00,0.00,0,865
1783932560,18164,8,0.00,0.00,0,875
1783932561,18164,8,0.00,0.00,0,863
1783932562,18164,8,0.00,0.00,0,872
1783932564,18164,8,0.00,0.00,0,866
1783932565,18164,8,0.00,0.00,0,871
1783932566,18164,8,0.00,0.00,0,868
1783932567,18164,8,0.00,0.00,0,872
1783932568,18164,8,0.00,0.00,0,881
1783932569,18164,8,0.00,0.00,0,881
1783932570,18164,8,0.88,0.11,1,871
1783932571,18164,8,0.00,0.00,0,864
1783932572,18164,8,1.84,0.23,2,868
1783932573,18164,8,0.00,0.00,0,868
1783932575,18164,8,0.00,0.00,0,870
1783932576,18164,8,0.00,0.00,0,868
1783932577,18164,8,0.00,0.00,0,876
1783932578,18164,8,0.00,0.00,0,872
1783932579,18164,8,0.00,0.00,0,873
1783932580,18164,8,0.00,0.00,0,868
1783932581,18164,8,0.00,0.00,0,864
1783932582,18164,8,0.00,0.00,0,870
1783932583,18164,8,0.00,0.00,0,866
1783932584,18164,8,0.00,0.00,0,875
1783932586,18164,8,0.00,0.00,0,867
1783932587,18164,8,0.00,0.00,0,869
1783932588,18164,8,0.00,0.00,0,866
1783932589,18164,8,0.00,0.00,0,870
1783932590,18164,8,0.00,0.00,0,877
1783932591,18164,8,0.00,0.00,0,881
